W,p value,effectsize,me,mae
19050695.0,1.0,0.12861865068616152,7.314850223726059,51.889950005616264
18956275.0,1.0,0.13423404539601402,8.063357009569735,52.1577207563677
18757264.5,1.0,0.13983405914686697,20.59672093955617,72.52319229378003
18706643.5,1.0,0.14545253380756207,18.11755052631554,68.10449794909123
18775893.0,1.0,0.14082066599819365,19.339666617517228,70.12728262503576
18742809.0,1.0,0.13994451683918885,13.783400303293929,59.101608753817246
18618223.0,1.0,0.14949171455286625,9.265924159591494,52.65724392779123
18662605.0,1.0,0.14472447600089755,13.200671252130416,59.44565646711189
19225525.0,1.0,0.1185494539855263,18.938478956896436,73.0874424186968
19076558.0,1.0,0.1266887350308019,13.461364618148142,61.94513919655239
18737278.0,1.0,0.14019831907754932,9.95849389425178,54.5955595046716
18578347.5,1.0,0.14876809189063966,21.738461894268372,70.06864772414059
18942671.5,1.0,0.13337432526018833,21.814344167046368,71.91313609648516
19142932.0,1.0,0.12365018049171439,14.259963965586854,62.555031875703406
19002167.0,1.0,0.12972193092222806,10.179189698539231,55.05545530691703
18846978.0,1.0,0.13664466017282706,12.198450471848657,58.687560642010546
18773223.0,1.0,0.13854890279516519,19.35310714961937,70.6761528319953
18445777.0,1.0,0.15592667693590723,21.603057057299782,68.62328003689444
18834953.5,1.0,0.1370107913550398,12.0824010789388,59.68620636737999
18969705.0,1.0,0.13046446777100318,10.132984054380842,55.36519923004422
18878715.0,1.0,0.13648503899666642,19.489848119054244,71.91345252558301
18623731.0,1.0,0.1463232640057045,10.42255220892036,55.80127842142219
18742683.0,1.0,0.14123848672876482,19.2612958308092,70.66884474686455
18689326.0,1.0,0.1442328497723515,13.037212996316523,61.807662547132125
18726102.0,1.0,0.14181451622050412,14.081051304416416,63.39243760146719
18824577.0,1.0,0.13693209027365938,13.88334519837602,64.10842563539296
18873336.0,1.0,0.13395499509511455,13.195296072408288,62.69542424762566
18593799.5,1.0,0.14641649094848108,19.754441785229996,69.70240435591086
18694598.5,1.0,0.1430748313426642,13.785910562993678,62.05354919347833
18501555.0,1.0,0.1508331004057759,10.493114542131062,55.49771093359336
18469318.0,1.0,0.15376365940950587,9.658846777689657,55.11377901736462
18368906.0,1.0,0.15764330604109356,13.335308777927294,62.23094427229467
18475456.0,1.0,0.15366359565220578,9.768987609099035,55.48706004309328
18506357.0,1.0,0.15097652446745924,13.53789083250613,62.60367428180147
18485472.0,1.0,0.15102570790179004,11.667900698408772,58.19266038956787
18420320.0,1.0,0.15510465592315126,18.241045347447823,69.17037052433147
18396202.0,1.0,0.15837526027414495,9.36566077002867,54.277022505571495
18180903.0,1.0,0.1680472331680073,10.86750070953614,57.3713505482059
18659422.0,1.0,0.14377091482330806,9.472273507890481,56.71947673292577
